id,text,label,risk_level,source_type,word_count,text_length
MSG-0146,Nobody truly understands what I am going through and I feel so completely alone.,Depression / Sadness,medium,Mental Health Forum / Diary,14,80
MSG-0336,I have documented every single thing you have done and I am going to use it all.,Violence / Threats,high,Social Media / Chat Messages,17,80
MSG-0176,"Every day I wake up and think, not again, I cannot face another day like this.",Depression / Sadness,medium,Mental Health Forum / Diary,16,78
MSG-0371,I feel increasingly isolated because I cannot allow anyone to get close to me.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,14,78
MSG-0418,My partner uses my past traumas as weapons during every single argument we have.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,14,80
MSG-0074,The anxiety has gotten so bad that I have started avoiding people completely.,Stress / Anxiety,medium,Online Forum / Chat Messages,13,77
MSG-0133,"I feel like I am going through life entirely on autopilot, completely disconnected.",Depression / Sadness,medium,Mental Health Forum / Diary,13,83
MSG-0138,I am completely exhausted all the time even when I get more than enough sleep.,Depression / Sadness,medium,Mental Health Forum / Diary,15,78
MSG-0031,"Just bought a new plant for my apartment, my place feels so alive now.",Normal Conversation,low,Social Media / General Posts,14,70
MSG-0073,I am so stressed out that I cannot even eat properly or taste anything anymore.,Stress / Anxiety,medium,Online Forum / Chat Messages,15,79
MSG-0071,I keep having random panic attacks at the most unexpected and inconvenient times.,Stress / Anxiety,medium,Online Forum / Chat Messages,13,81
MSG-0095,I have been procrastinating everything because starting anything feels impossible.,Stress / Anxiety,medium,Online Forum / Chat Messages,10,82
MSG-0370,My partner cheated on me and I feel completely broken and unable to move forward.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,15,81
MSG-0091,I just need one single day where I do not feel this anxious and overwhelmed.,Stress / Anxiety,medium,Online Forum / Chat Messages,15,76
MSG-0328,"Nobody threatens me and ever gets away with it cleanly, you will see soon.",Violence / Threats,high,Social Media / Chat Messages,14,74
MSG-0414,I was emotionally abused for so long that love and fear feel identical to me.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,15,77
MSG-0010,"Planning a vacation to Italy next month, I am so excited about it.",Normal Conversation,low,Social Media / General Posts,13,66
MSG-0248,Keep your mouth shut or we will share those pictures you sent to everyone.,Cyberbullying,high,Social Media / Direct Messages,14,74
MSG-0197,I have started giving away my belongings because I will not be needing them.,Suicide Risk,high,Crisis Forum / Support Group,14,76
MSG-0232,I told my therapist I was doing better because I do not want to be stopped.,Suicide Risk,high,Crisis Forum / Support Group,16,75
MSG-0193,I have been saying my goodbyes to people subtly and nobody has even noticed.,Suicide Risk,high,Crisis Forum / Support Group,14,76
MSG-0240,I wanted to reach out before I do this because I did not want to leave silently.,Suicide Risk,high,Crisis Forum / Support Group,17,80
MSG-0420,I have been let down by every single authority figure I have ever trusted.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,14,74
MSG-0229,I called to cancel all my appointments and subscriptions one by one today.,Suicide Risk,high,Crisis Forum / Support Group,13,74
MSG-0056,"Had a heartfelt conversation with my dad tonight, feeling very grateful.",Normal Conversation,low,Social Media / General Posts,11,72
MSG-0355,You sleeping soundly tonight is something that should not make you comfortable.,Violence / Threats,high,Social Media / Chat Messages,12,79
MSG-0057,"The kids made me breakfast in bed for my birthday, what a sweet surprise.",Normal Conversation,low,Social Media / General Posts,14,73
MSG-0298,We dox people who stand up to us so you had better think very carefully.,Cyberbullying,high,Social Media / Direct Messages,15,72
MSG-0272,We created a fake profile using your photos to humiliate you publicly online.,Cyberbullying,high,Social Media / Direct Messages,13,77
MSG-0080,I am terrified of failing my final exams even though I have studied really hard.,Stress / Anxiety,medium,Online Forum / Chat Messages,15,80
MSG-0411,"I feel hypervigilant in every relationship now, always waiting for the betrayal.",Trust / Relationship Issues,medium,Relationship Forum / Feedback,12,80
MSG-0117,Starting a new job next week and the anticipatory anxiety is completely unbearable.,Stress / Anxiety,medium,Online Forum / Chat Messages,13,83
MSG-0209,I said goodbye to my dog today because she deserves so much better than me.,Suicide Risk,high,Crisis Forum / Support Group,15,75
